sample_id,read1,read2
SRR14580504,raw/SRR14580504_L001_1.fastq.gz,raw/SRR14580504_L001_2.fastq.gz
SRR14580504,raw/SRR14580504_L002_1.fastq.gz,raw/SRR14580504_L002_2.fastq.gz
SRR14580505,raw/SRR14580505_L001_1.fastq.gz,raw/SRR14580505_L001_2.fastq.gz
SRR14580505,raw/SRR14580505_L002_1.fastq.gz,raw/SRR14580505_L002_2.fastq.gz
SRR14580508,raw/SRR14580508_L001_1.fastq.gz,raw/SRR14580508_L001_2.fastq.gz
SRR14580508,raw/SRR14580508_L002_1.fastq.gz,raw/SRR14580508_L002_2.fastq.gz
SRR14580509,raw/SRR14580509_L001_1.fastq.gz,raw/SRR14580509_L001_2.fastq.gz
SRR14580509,raw/SRR14580509_L002_1.fastq.gz,raw/SRR14580509_L002_2.fastq.gz
SRR14580511,raw/SRR14580511_L001_1.fastq.gz,raw/SRR14580511_L001_2.fastq.gz
SRR14580511,raw/SRR14580511_L002_1.fastq.gz,raw/SRR14580511_L002_2.fastq.gz
SRR14580514,raw/SRR14580514_L001_1.fastq.gz,raw/SRR14580514_L001_2.fastq.gz
SRR14580514,raw/SRR14580514_L002_1.fastq.gz,raw/SRR14580514_L002_2.fastq.gz
SRR14580516,raw/SRR14580516_L001_1.fastq.gz,raw/SRR14580516_L001_2.fastq.gz
SRR14580516,raw/SRR14580516_L002_1.fastq.gz,raw/SRR14580516_L002_2.fastq.gz
SRR14580521,raw/SRR14580521_L001_1.fastq.gz,raw/SRR14580521_L001_2.fastq.gz
SRR14580521,raw/SRR14580521_L002_1.fastq.gz,raw/SRR14580521_L002_2.fastq.gz
SRR14580522,raw/SRR14580522_L001_1.fastq.gz,raw/SRR14580522_L001_2.fastq.gz
SRR14580522,raw/SRR14580522_L002_1.fastq.gz,raw/SRR14580522_L002_2.fastq.gz
SRR14580530,raw/SRR14580530_L001_1.fastq.gz,raw/SRR14580530_L001_2.fastq.gz
SRR14580530,raw/SRR14580530_L002_1.fastq.gz,raw/SRR14580530_L002_2.fastq.gz
