name,var,model
alcohol,Alc_Lifetime,methylation~Alc_Lifetime+Smoke_status+BMI_C+Age_Rerc+Sex
smoke_current_former,Smoke_current_former,methylation~Smoke_current_former+BMI_C+Sex
smoke_former_never,Smoke_former_never,methylation~Smoke_former_never+BMI_C+Sex
smoke_current_never,Smoke_current_never,methylation~Smoke_current_never+BMI_C+Sex
bmi,BMI_C,methylation~BMI_C+Smoke_status+Age_Rerc+Sex
sex,Sex,methylation~Sex
country,Country.x,methylation~Country.x
age,Age_Rerc,methylation~Age_Rerc+Sex
cancer,Cancer_status,methylation~Cancer_status+Age_Rerc
cancer_adj,Cancer_status,methylation~Cancer_status+Age_Rerc+Sex+Smoke_status+Alc_Lifetime
